date,page_url,page_title,organic_sessions,organic_users,bounce_rate,avg_session_duration_sec,conversions,search_engine
2025-11-04,/blog/woo-to-shopify,WooCommerce → Shopify Migration,8,7,0.709,64.1,0,Google
2025-11-04,/locations/toronto,Shopify Plus Consultant Toronto,3,2,0.372,185.5,0,Google
2025-11-04,/locations/calgary,Shopify Plus Consultant Calgary,16,13,0.37,114.1,0,Google
2025-11-04,/locations/vancouver,Shopify Plus Consultant Vancouver,10,9,0.475,217.5,0,Google
2025-11-04,/platforms/odoo,Odoo Implementation Partner,6,5,0.482,53.8,0,Google
2025-11-04,/platforms/woocommerce,WooCommerce Development,7,6,0.464,34.0,0,Google
2025-11-05,/,X9Elysium — Shopify Plus Consulting,63,52,0.564,90.3,0,Google
2025-11-05,/services,"Services — Shopify Plus, Hydrogen, B2B",24,21,0.468,56.6,1,Google
2025-11-05,/work,Case Studies — X9Elysium,13,10,0.638,88.6,0,Google
2025-11-05,/about,About X9Elysium — Founder-led Shopify Plus Consulting,5,4,0.506,156.2,0,Google
2025-11-05,/contact,Contact X9Elysium,4,3,0.669,32.4,0,Google
2025-11-05,/foundation,Foundation — Vasudhaiva Kutumbakam,6,5,0.37,67.8,0,Google
2025-11-05,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,10,9,0.515,191.0,0,Google
2025-11-05,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,11,8,0.594,63.7,0,Google
2025-11-05,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,2,1,0.422,216.1,0,Google
2025-11-05,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,14,11,0.674,65.0,0,Google
2025-11-05,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,8,6,0.623,89.8,0,Google
2025-11-05,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,13,10,0.612,199.3,0,Google
2025-11-05,/blog/checkout-extensions,Shopify Checkout Extensions Explained,7,5,0.335,212.5,0,Google
2025-11-05,/blog/markets-guide,Shopify Markets — Multi-Region Setup,3,2,0.516,45.5,0,Google
2025-11-05,/blog/woo-to-shopify,WooCommerce → Shopify Migration,9,8,0.397,38.0,0,Google
2025-11-05,/locations/toronto,Shopify Plus Consultant Toronto,5,4,0.561,48.9,0,Google
2025-11-05,/locations/calgary,Shopify Plus Consultant Calgary,11,10,0.41,76.2,0,Google
2025-11-05,/platforms/odoo,Odoo Implementation Partner,9,7,0.384,88.1,0,Google
2025-11-05,/platforms/woocommerce,WooCommerce Development,10,8,0.395,235.8,0,Google
2025-11-06,/,X9Elysium — Shopify Plus Consulting,40,31,0.573,136.4,1,Google
2025-11-06,/services,"Services — Shopify Plus, Hydrogen, B2B",33,26,0.396,165.8,0,Google
2025-11-06,/work,Case Studies — X9Elysium,6,5,0.688,80.0,0,Google
2025-11-06,/about,About X9Elysium — Founder-led Shopify Plus Consulting,10,9,0.379,197.1,0,Google
2025-11-06,/contact,Contact X9Elysium,12,10,0.431,180.9,0,Google
2025-11-06,/foundation,Foundation — Vasudhaiva Kutumbakam,4,3,0.572,128.1,0,Google
2025-11-06,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,1,1,0.665,238.9,0,Google
2025-11-06,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,7,6,0.508,182.8,0,Google
2025-11-06,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,9,8,0.475,110.6,0,Google
2025-11-06,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,12,10,0.628,95.1,0,Google
2025-11-06,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,8,7,0.481,28.0,0,Google
2025-11-06,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,5,4,0.431,207.5,0,Google
2025-11-06,/blog/checkout-extensions,Shopify Checkout Extensions Explained,14,11,0.685,203.7,0,Google
2025-11-06,/blog/markets-guide,Shopify Markets — Multi-Region Setup,7,6,0.579,44.3,0,Google
2025-11-06,/blog/woo-to-shopify,WooCommerce → Shopify Migration,6,4,0.503,70.3,0,Google
2025-11-06,/locations/toronto,Shopify Plus Consultant Toronto,9,7,0.35,185.3,0,Google
2025-11-06,/locations/calgary,Shopify Plus Consultant Calgary,7,5,0.486,183.0,0,Google
2025-11-06,/locations/vancouver,Shopify Plus Consultant Vancouver,7,6,0.469,100.6,0,Google
2025-11-06,/platforms/odoo,Odoo Implementation Partner,9,7,0.545,232.7,0,Google
2025-11-06,/platforms/woocommerce,WooCommerce Development,3,2,0.565,58.3,0,Google
2025-11-07,/,X9Elysium — Shopify Plus Consulting,84,71,0.695,222.3,0,Google
2025-11-07,/services,"Services — Shopify Plus, Hydrogen, B2B",23,21,0.397,177.4,0,Google
2025-11-07,/work,Case Studies — X9Elysium,18,16,0.359,165.1,0,Google
2025-11-07,/about,About X9Elysium — Founder-led Shopify Plus Consulting,8,6,0.601,56.8,0,Google
2025-11-07,/contact,Contact X9Elysium,15,13,0.504,114.6,0,Google
2025-11-07,/foundation,Foundation — Vasudhaiva Kutumbakam,9,8,0.436,96.3,0,Google
2025-11-07,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,7,6,0.461,121.4,0,Google
2025-11-07,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,9,7,0.512,229.4,0,Google
2025-11-07,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,13,12,0.534,170.1,0,Google
2025-11-07,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,2,1,0.614,207.3,0,Google
2025-11-07,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,7,5,0.376,210.4,0,Google
2025-11-07,/blog/checkout-extensions,Shopify Checkout Extensions Explained,9,8,0.397,220.7,0,Google
2025-11-07,/blog/markets-guide,Shopify Markets — Multi-Region Setup,6,5,0.543,219.5,0,Google
2025-11-07,/blog/woo-to-shopify,WooCommerce → Shopify Migration,9,7,0.486,68.1,0,Google
2025-11-07,/locations/toronto,Shopify Plus Consultant Toronto,7,5,0.506,89.7,0,Google
2025-11-07,/locations/calgary,Shopify Plus Consultant Calgary,10,8,0.605,88.7,0,Google
2025-11-07,/platforms/odoo,Odoo Implementation Partner,9,7,0.63,234.9,0,Google
2025-11-07,/platforms/woocommerce,WooCommerce Development,13,11,0.459,125.3,0,Google
2025-11-08,/,X9Elysium — Shopify Plus Consulting,22,19,0.502,154.9,0,Google
2025-11-08,/services,"Services — Shopify Plus, Hydrogen, B2B",5,4,0.403,32.4,0,Google
2025-11-08,/about,About X9Elysium — Founder-led Shopify Plus Consulting,7,6,0.435,148.2,0,Google
2025-11-08,/contact,Contact X9Elysium,16,12,0.598,101.1,0,Google
2025-11-08,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,10,8,0.401,77.6,0,Google
2025-11-08,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,6,4,0.484,142.9,0,Google
2025-11-08,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,2,1,0.506,57.7,0,Google
2025-11-08,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,9,8,0.657,98.6,0,Google
2025-11-08,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,4,3,0.407,122.0,0,Google
2025-11-08,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,3,2,0.375,132.4,0,Google
2025-11-08,/blog/checkout-extensions,Shopify Checkout Extensions Explained,9,8,0.608,186.5,0,Google
2025-11-08,/blog/markets-guide,Shopify Markets — Multi-Region Setup,3,2,0.532,192.7,0,Google
2025-11-08,/locations/toronto,Shopify Plus Consultant Toronto,4,3,0.324,59.4,0,Google
2025-11-08,/locations/calgary,Shopify Plus Consultant Calgary,4,3,0.573,78.0,0,Google
2025-11-08,/locations/vancouver,Shopify Plus Consultant Vancouver,4,3,0.356,195.9,0,Google
2025-11-08,/platforms/odoo,Odoo Implementation Partner,3,2,0.478,89.6,0,Google
2025-11-08,/platforms/woocommerce,WooCommerce Development,12,9,0.588,159.8,0,Google
2025-11-09,/,X9Elysium — Shopify Plus Consulting,23,18,0.363,148.7,0,Google
2025-11-09,/services,"Services — Shopify Plus, Hydrogen, B2B",6,4,0.325,76.8,0,Google
2025-11-09,/work,Case Studies — X9Elysium,1,1,0.491,72.4,0,Google
2025-11-09,/about,About X9Elysium — Founder-led Shopify Plus Consulting,3,2,0.643,87.8,0,Google
2025-11-09,/contact,Contact X9Elysium,2,1,0.62,66.1,0,Google
2025-11-09,/foundation,Foundation — Vasudhaiva Kutumbakam,6,5,0.4,174.2,0,Google
2025-11-09,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,5,4,0.482,62.0,0,Google
2025-11-09,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,2,1,0.375,129.5,0,Google
2025-11-09,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,8,6,0.488,108.8,0,Google
2025-11-09,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,6,5,0.481,68.7,0,Google
2025-11-09,/blog/checkout-extensions,Shopify Checkout Extensions Explained,6,5,0.448,105.9,0,Google
2025-11-09,/blog/woo-to-shopify,WooCommerce → Shopify Migration,3,2,0.553,62.7,0,Google
2025-11-09,/locations/toronto,Shopify Plus Consultant Toronto,2,1,0.348,180.0,0,Google
2025-11-09,/locations/vancouver,Shopify Plus Consultant Vancouver,2,1,0.709,154.6,0,Google
2025-11-09,/platforms/odoo,Odoo Implementation Partner,10,8,0.7,199.2,0,Google
2025-11-09,/platforms/woocommerce,WooCommerce Development,14,12,0.674,29.5,0,Google
2025-11-10,/,X9Elysium — Shopify Plus Consulting,53,42,0.697,44.5,1,Google
2025-11-10,/services,"Services — Shopify Plus, Hydrogen, B2B",35,31,0.46,198.5,0,Google
2025-11-10,/work,Case Studies — X9Elysium,18,16,0.478,61.2,0,Google
2025-11-10,/about,About X9Elysium — Founder-led Shopify Plus Consulting,10,8,0.539,28.9,0,Google
2025-11-10,/contact,Contact X9Elysium,8,7,0.39,53.2,0,Google
2025-11-10,/foundation,Foundation — Vasudhaiva Kutumbakam,2,1,0.491,136.5,0,Google
2025-11-10,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,7,6,0.703,145.2,0,Google
2025-11-10,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,4,3,0.341,138.7,0,Google
2025-11-10,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,6,5,0.326,215.0,0,Google
2025-11-10,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,6,5,0.71,83.0,0,Google
2025-11-10,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,10,8,0.364,150.3,0,Google
2025-11-10,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,10,8,0.64,184.9,0,Google
2025-11-10,/blog/checkout-extensions,Shopify Checkout Extensions Explained,10,9,0.586,57.0,0,Google
2025-11-10,/blog/markets-guide,Shopify Markets — Multi-Region Setup,6,4,0.513,142.8,0,Google
2025-11-10,/blog/woo-to-shopify,WooCommerce → Shopify Migration,7,5,0.465,84.6,0,Google
2025-11-10,/locations/toronto,Shopify Plus Consultant Toronto,2,1,0.666,76.1,0,Google
2025-11-10,/locations/calgary,Shopify Plus Consultant Calgary,13,11,0.559,193.2,0,Google
2025-11-10,/locations/vancouver,Shopify Plus Consultant Vancouver,2,1,0.446,221.2,0,Google
2025-11-10,/platforms/odoo,Odoo Implementation Partner,9,8,0.357,212.4,0,Google
2025-11-11,/,X9Elysium — Shopify Plus Consulting,53,45,0.359,196.5,2,Google
2025-11-11,/services,"Services — Shopify Plus, Hydrogen, B2B",39,32,0.658,84.6,1,Google
2025-11-11,/work,Case Studies — X9Elysium,17,13,0.623,137.9,0,Google
2025-11-11,/about,About X9Elysium — Founder-led Shopify Plus Consulting,15,13,0.59,68.0,0,Google
2025-11-11,/contact,Contact X9Elysium,6,5,0.638,72.9,0,Google
2025-11-11,/foundation,Foundation — Vasudhaiva Kutumbakam,6,5,0.525,225.5,0,Google
2025-11-11,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,13,11,0.561,67.4,0,Google
2025-11-11,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,8,7,0.57,90.6,0,Google
2025-11-11,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,9,7,0.417,156.5,0,Google
2025-11-11,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,8,6,0.376,147.0,0,Google
2025-11-11,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,9,7,0.593,72.7,0,Google
2025-11-11,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,6,5,0.574,236.2,0,Google
2025-11-11,/blog/checkout-extensions,Shopify Checkout Extensions Explained,7,5,0.612,187.8,0,Google
2025-11-11,/blog/markets-guide,Shopify Markets — Multi-Region Setup,8,7,0.694,81.6,0,Google
2025-11-11,/blog/woo-to-shopify,WooCommerce → Shopify Migration,7,6,0.529,83.7,0,Google
2025-11-11,/locations/toronto,Shopify Plus Consultant Toronto,4,3,0.397,227.3,0,Google
2025-11-11,/locations/calgary,Shopify Plus Consultant Calgary,8,6,0.656,64.9,0,Google
2025-11-11,/locations/vancouver,Shopify Plus Consultant Vancouver,10,7,0.487,234.1,0,Google
2025-11-11,/platforms/odoo,Odoo Implementation Partner,8,6,0.545,111.4,0,Google
2025-11-11,/platforms/woocommerce,WooCommerce Development,10,9,0.587,167.6,0,Google
2025-11-12,/,X9Elysium — Shopify Plus Consulting,36,33,0.519,113.2,1,Google
2025-11-12,/services,"Services — Shopify Plus, Hydrogen, B2B",5,4,0.431,202.1,0,Google
2025-11-12,/work,Case Studies — X9Elysium,14,13,0.358,28.3,0,Google
2025-11-12,/about,About X9Elysium — Founder-led Shopify Plus Consulting,16,13,0.502,208.1,0,Google
2025-11-12,/contact,Contact X9Elysium,13,11,0.703,99.9,0,Google
2025-11-12,/foundation,Foundation — Vasudhaiva Kutumbakam,2,1,0.551,126.1,0,Google
2025-11-12,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,13,10,0.677,123.8,0,Google
2025-11-12,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,7,6,0.327,129.5,0,Google
2025-11-12,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,11,8,0.372,53.2,0,Google
2025-11-12,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,7,6,0.414,162.9,0,Google
2025-11-12,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,9,8,0.468,49.7,0,Google
2025-11-12,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,12,10,0.385,68.0,0,Google
2025-11-12,/blog/checkout-extensions,Shopify Checkout Extensions Explained,8,6,0.464,115.0,0,Google
2025-11-12,/blog/markets-guide,Shopify Markets — Multi-Region Setup,7,5,0.658,205.5,0,Google
2025-11-12,/blog/woo-to-shopify,WooCommerce → Shopify Migration,1,1,0.342,108.4,0,Google
2025-11-12,/locations/toronto,Shopify Plus Consultant Toronto,12,10,0.7,184.2,0,Google
2025-11-12,/locations/calgary,Shopify Plus Consultant Calgary,15,12,0.578,209.7,0,Google
2025-11-12,/locations/vancouver,Shopify Plus Consultant Vancouver,4,3,0.429,130.0,0,Google
2025-11-12,/platforms/odoo,Odoo Implementation Partner,8,7,0.669,108.3,0,Google
2025-11-12,/platforms/woocommerce,WooCommerce Development,7,6,0.605,107.3,0,Google
2025-11-13,/,X9Elysium — Shopify Plus Consulting,31,28,0.508,82.4,0,Google
2025-11-13,/services,"Services — Shopify Plus, Hydrogen, B2B",27,24,0.627,29.2,0,Google
2025-11-13,/work,Case Studies — X9Elysium,20,16,0.527,70.6,0,Google
2025-11-13,/about,About X9Elysium — Founder-led Shopify Plus Consulting,8,6,0.691,99.5,0,Google
2025-11-13,/contact,Contact X9Elysium,5,4,0.382,181.1,0,Google
2025-11-13,/foundation,Foundation — Vasudhaiva Kutumbakam,5,4,0.507,142.7,0,Google
2025-11-13,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,17,14,0.442,121.3,0,Google
2025-11-13,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,10,8,0.705,82.4,0,Google
2025-11-13,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,6,5,0.459,124.0,0,Google
2025-11-13,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,4,3,0.508,44.7,0,Google
2025-11-13,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,11,9,0.502,223.0,0,Google
2025-11-13,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,9,8,0.611,109.2,0,Google
2025-11-13,/blog/checkout-extensions,Shopify Checkout Extensions Explained,4,3,0.441,122.0,0,Google
2025-11-13,/blog/markets-guide,Shopify Markets — Multi-Region Setup,5,4,0.344,230.7,0,Google
2025-11-13,/blog/woo-to-shopify,WooCommerce → Shopify Migration,3,2,0.668,184.5,0,Google
2025-11-13,/locations/toronto,Shopify Plus Consultant Toronto,2,1,0.328,175.7,0,Google
2025-11-13,/locations/calgary,Shopify Plus Consultant Calgary,16,13,0.679,239.4,0,Google
2025-11-13,/locations/vancouver,Shopify Plus Consultant Vancouver,1,1,0.429,115.4,0,Google
2025-11-13,/platforms/odoo,Odoo Implementation Partner,6,4,0.612,73.3,0,Google
2025-11-13,/platforms/woocommerce,WooCommerce Development,11,8,0.608,185.9,0,Google
2025-11-14,/,X9Elysium — Shopify Plus Consulting,50,46,0.706,126.0,1,Google
2025-11-14,/services,"Services — Shopify Plus, Hydrogen, B2B",28,25,0.647,85.8,1,Google
2025-11-14,/work,Case Studies — X9Elysium,5,4,0.587,215.5,0,Google
2025-11-14,/about,About X9Elysium — Founder-led Shopify Plus Consulting,11,9,0.67,183.7,0,Google
2025-11-14,/contact,Contact X9Elysium,11,8,0.624,74.7,0,Google
2025-11-14,/foundation,Foundation — Vasudhaiva Kutumbakam,7,5,0.391,84.6,0,Google
2025-11-14,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,13,10,0.429,52.2,0,Google
2025-11-14,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,7,5,0.605,199.1,0,Google
2025-11-14,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,9,7,0.43,91.0,0,Google
2025-11-14,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,8,6,0.686,234.9,0,Google
2025-11-14,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,8,7,0.49,33.0,0,Google
2025-11-14,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,8,6,0.665,40.7,0,Google
2025-11-14,/blog/checkout-extensions,Shopify Checkout Extensions Explained,10,7,0.362,117.8,0,Google
2025-11-14,/blog/markets-guide,Shopify Markets — Multi-Region Setup,4,3,0.385,156.5,0,Google
2025-11-14,/blog/woo-to-shopify,WooCommerce → Shopify Migration,7,6,0.611,65.7,0,Google
2025-11-14,/locations/toronto,Shopify Plus Consultant Toronto,12,9,0.544,122.0,0,Google
2025-11-14,/locations/calgary,Shopify Plus Consultant Calgary,3,2,0.363,213.2,0,Google
2025-11-14,/locations/vancouver,Shopify Plus Consultant Vancouver,5,3,0.596,60.8,0,Google
2025-11-14,/platforms/odoo,Odoo Implementation Partner,11,8,0.337,158.9,0,Google
2025-11-14,/platforms/woocommerce,WooCommerce Development,6,5,0.484,95.9,0,Google
2025-11-15,/,X9Elysium — Shopify Plus Consulting,47,38,0.379,139.9,1,Google
2025-11-15,/work,Case Studies — X9Elysium,8,6,0.573,46.1,0,Google
2025-11-15,/about,About X9Elysium — Founder-led Shopify Plus Consulting,5,4,0.559,207.6,0,Google
2025-11-15,/contact,Contact X9Elysium,11,8,0.352,195.1,0,Google
2025-11-15,/foundation,Foundation — Vasudhaiva Kutumbakam,4,3,0.698,48.0,0,Google
2025-11-15,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,7,5,0.428,160.4,0,Google
2025-11-15,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,6,5,0.386,184.6,0,Google
2025-11-15,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,4,3,0.634,140.4,0,Google
2025-11-15,/blog/subscriptions,Subscriptions on Shopify — A Founder's Guide,2,1,0.637,191.0,0,Google
2025-11-15,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,5,4,0.448,202.5,0,Google
2025-11-15,/blog/checkout-extensions,Shopify Checkout Extensions Explained,2,1,0.673,53.6,0,Google
2025-11-15,/blog/markets-guide,Shopify Markets — Multi-Region Setup,7,6,0.516,157.0,0,Google
2025-11-15,/locations/toronto,Shopify Plus Consultant Toronto,13,11,0.487,63.3,0,Google
2025-11-15,/locations/calgary,Shopify Plus Consultant Calgary,9,7,0.485,104.7,0,Google
2025-11-15,/locations/vancouver,Shopify Plus Consultant Vancouver,8,7,0.669,176.1,0,Google
2025-11-15,/platforms/odoo,Odoo Implementation Partner,5,3,0.606,183.2,0,Google
2025-11-16,/,X9Elysium — Shopify Plus Consulting,23,18,0.58,73.3,0,Google
2025-11-16,/services,"Services — Shopify Plus, Hydrogen, B2B",13,11,0.625,179.4,0,Google
2025-11-16,/work,Case Studies — X9Elysium,3,2,0.382,41.4,0,Google
2025-11-16,/about,About X9Elysium — Founder-led Shopify Plus Consulting,13,11,0.522,37.3,0,Google
2025-11-16,/contact,Contact X9Elysium,8,7,0.609,75.6,0,Google
2025-11-16,/blog/magento-to-shopify-plus,Magento → Shopify Plus Migration Guide,1,1,0.429,159.7,0,Google
2025-11-16,/blog/bigcommerce-vs-shopify-plus,BigCommerce vs Shopify Plus,13,11,0.585,157.1,0,Google
2025-11-16,/blog/plus-vs-advanced,Shopify Plus vs Shopify Advanced,6,4,0.707,79.0,0,Google
2025-11-16,/blog/shopify-plus-pricing,Shopify Plus Pricing in 2026,6,4,0.526,75.9,0,Google
2025-11-16,/blog/core-web-vitals-shopify,Core Web Vitals for Shopify Stores,2,1,0.623,104.7,0,Google
2025-11-16,/blog/checkout-extensions,Shopify Checkout Extensions Explained,7,6,0.335,138.2,0,Google
2025-11-16,/blog/markets-guide,Shopify Markets — Multi-Region Setup,9,7,0.497,139.2,0,Google
2025-11-16,/locations/toronto,Shopify Plus Consultant Toronto,4,3,0.701,54.1,0,Google
2025-11-16,/locations/calgary,Shopify Plus Consultant Calgary,4,3,0.591,217.5,0,Google
2025-11-16,/locations/vancouver,Shopify Plus Consultant Vancouver,5,4,0.401,221.4,0,Google
2025-11-16,/platforms/odoo,Odoo Implementation Partner,8,6,0.688,120.2,0,Google
