invoice_id,client_name,client_email,project,issue_date,due_date,payment_terms,currency,subtotal,tax_rate,tax_amount,total,status,paid_date,paid_amount,payment_method,notes
INV-2026-0011,Vesper Home,billing@vesperhome.com,Headless POC,2025-12-23,2026-01-22,Net 30,USD,42000,0.0,0.0,42000.0,Overdue,,,,
INV-2026-0012,Vesper Home,billing@vesperhome.com,Headless POC,2025-12-26,2026-01-10,Net 15,USD,12000,0.0,0.0,12000.0,Paid,2026-01-16,12000.0,Bank Transfer,
INV-2026-0013,Solace Linens,finance@solacelinens.com,B2B Wholesale Build,2025-12-27,2026-01-26,Net 30,CAD,6000,0.13,780.0,6780.0,Paid,2026-01-31,6780.0,Wise,
INV-2026-0014,Lumen Skincare,finance@lumen.co,Subscription Setup,2025-12-27,2026-01-11,Net 15,USD,35000,0.0,0.0,35000.0,Overdue,,,,
INV-2026-0015,Solace Linens,finance@solacelinens.com,B2B Wholesale Build,2025-12-28,2026-01-27,Net 30,USD,28000,0.0,0.0,28000.0,Paid,2026-01-19,28000.0,Bank Transfer,
INV-2026-0016,Glasshouse Lighting,finance@glasshouse.us,Checkout Extensions,2026-01-04,2026-02-03,Net 30,USD,22000,0.0,0.0,22000.0,Paid,2026-01-06,22000.0,Wise,
INV-2026-0017,Tidewater Goods,billing@tidewater.co,Markets Rollout — US/UK,2026-01-07,2026-03-08,Net 60,USD,60000,0.0,0.0,60000.0,Sent,,,,
INV-2026-0018,Roastline Coffee,ops@roastline.ca,Site Speed Audit,2026-01-11,2026-01-26,Net 15,USD,22000,0.0,0.0,22000.0,Paid,2026-01-16,22000.0,Stripe,
INV-2026-0019,Glasshouse Lighting,finance@glasshouse.us,Checkout Extensions,2026-01-17,2026-02-16,Net 30,USD,15000,0.0,0.0,15000.0,Paid,2026-02-03,15000.0,Wise,
INV-2026-0020,Riverstone Bakery,ap@riverstonebakery.ca,Theme Customization,2026-01-17,2026-02-16,Net 30,USD,3500,0.0,0.0,3500.0,Paid,2026-02-16,3500.0,Wise,
INV-2026-0021,Boreal Provisions,billing@boreal.ca,Markets US Setup,2026-01-17,2026-01-17,Due on Receipt,USD,60000,0.0,0.0,60000.0,Paid,2026-01-24,60000.0,Bank Transfer,
INV-2026-0022,Northwind Apparel,ap@northwind-apparel.com,Plus Migration,2026-01-18,2026-01-18,Due on Receipt,CAD,42000,0.13,5460.0,47460.0,Paid,2026-01-28,47460.0,Stripe,
INV-2026-0023,Boreal Provisions,billing@boreal.ca,Markets US Setup,2026-02-05,2026-02-05,Due on Receipt,USD,15000,0.0,0.0,15000.0,Partial,2026-02-06,10122.21,Wise,
INV-2026-0024,Solace Linens,finance@solacelinens.com,B2B Wholesale Build,2026-02-07,2026-03-09,Net 30,CAD,60000,0.13,7800.0,67800.0,Paid,2026-02-26,67800.0,Bank Transfer,
INV-2026-0025,Brassroot Footwear,ap@brassroot.com,Theme Refresh,2026-02-17,2026-03-04,Net 15,CAD,22000,0.13,2860.0,24860.0,Sent,,,,
INV-2026-0026,Pinecrest Outdoors,ap@pinecrest.com,Subscription Migration,2026-02-28,2026-03-30,Net 30,USD,15000,0.0,0.0,15000.0,Overdue,,,,
INV-2026-0027,Atlas Outdoors,accounts@atlasoutdoors.us,B2B Portal Build,2026-03-17,2026-04-16,Net 30,USD,22000,0.0,0.0,22000.0,Paid,2026-04-13,22000.0,Wise,
INV-2026-0028,Atlas Outdoors,accounts@atlasoutdoors.us,B2B Portal Build,2026-03-17,2026-04-16,Net 30,USD,28000,0.0,0.0,28000.0,Paid,2026-04-12,28000.0,Bank Transfer,
INV-2026-0029,Pinecrest Outdoors,ap@pinecrest.com,Subscription Migration,2026-03-21,2026-04-05,Net 15,USD,35000,0.0,0.0,35000.0,Paid,2026-04-04,35000.0,Wise,
INV-2026-0030,Atlas Outdoors,accounts@atlasoutdoors.us,B2B Portal Build,2026-03-29,2026-04-28,Net 30,USD,8500,0.0,0.0,8500.0,Paid,2026-04-05,8500.0,Bank Transfer,
INV-2026-0031,Brassroot Footwear,ap@brassroot.com,Theme Refresh,2026-04-01,2026-05-01,Net 30,USD,18000,0.0,0.0,18000.0,Overdue,,,,
INV-2026-0032,Lumen Skincare,finance@lumen.co,Subscription Setup,2026-04-20,2026-05-20,Net 30,USD,28000,0.0,0.0,28000.0,Paid,2026-04-24,28000.0,Wise,
INV-2026-0033,Glasshouse Lighting,finance@glasshouse.us,Checkout Extensions,2026-04-24,2026-05-24,Net 30,USD,8500,0.0,0.0,8500.0,Paid,2026-05-01,8500.0,Stripe,
INV-2026-0034,Halcyon Wellness,finance@halcyon.health,Magento Migration,2026-04-25,2026-05-10,Net 15,USD,3500,0.0,0.0,3500.0,Sent,,,,
